fusion_id,qsim_tester,qsim_line,qsim_both,V_flag_analyze,M_flag_analyze,M_num_reps,V_num_reps,M_tester_total_1,M_Line_total_1,M_Both_total_1,M_tester_total_2,M_Line_total_2,M_Both_total_2,V_tester_total_1,V_Line_total_1,V_Both_total_1,V_tester_total_2,V_Line_total_2,V_Both_total_2,line
Exon_172,0.154392192,0.145519077,0.700088731,1,1,2,2,16,24,112,12,20,120,11,17,110,15,14,100,sample1
Exon_173,0.118263473,0.100299401,0.781437126,1,1,2,2,29,43,242,30,39,250,29,35,139,17,25,177,sample1
Exon_174,0.16039604,0.126732673,0.712871287,1,1,2,2,39,44,175,30,64,177,25,39,113,34,42,121,sample1
Exon_175,0.426605505,0.444954128,0.128440367,1,1,2,2,19,17,2,13,15,2,16,9,0,11,19,4,sample1
Exon_176,0.259490085,0.357223796,0.383286119,1,1,2,2,284,343,678,203,245,467,171,191,346,177,192,424,sample1
Exon_177,0.279109589,0.272260274,0.448630137,1,1,2,2,743,507,1391,407,362,935,425,255,685,449,308,822,sample1
Exon_178,0.394686907,0.474383302,0.130929791,1,1,2,2,20,43,35,19,32,48,16,19,23,20,29,38,sample1
Exon_179,0.213836478,0.230607966,0.555555556,1,1,2,2,754,680,1619,489,504,1168,383,322,799,488,338,974,sample1
Exon_180,0.29038437,0.233431235,0.476184395,1,1,2,2,199,280,376,161,182,283,100,132,208,129,146,243,sample1
Exon_181,0.458492976,0.404853129,0.136653895,1,1,2,2,38,28,42,38,31,35,24,24,19,39,39,35,sample1
Exon_182,0.258817922,0.2435653,0.497616778,1,1,2,2,482,762,890,341,547,644,266,361,475,281,403,556,sample1
Exon_183,0.26319937,0.292881534,0.443919096,1,1,2,2,265,449,635,172,310,429,148,250,372,191,245,368,sample1
Exon_184,0.494382022,0.449438202,0.056179775,1,1,2,2,41,35,8,20,20,3,15,14,7,21,16,7,sample1
Exon_185,0.159624413,0.108651911,0.731723675,1,1,2,2,43,40,205,16,31,130,10,16,80,24,32,104,sample1
Exon_186,0.281577634,0.300299551,0.418122816,1,1,2,2,96,65,308,48,46,182,31,16,127,40,28,146,sample1
Exon_187,0.431698113,0.412075472,0.156226415,1,1,2,2,61,38,22,74,43,14,15,19,5,17,16,1,sample1
Exon_188,0.478040541,0.352195946,0.169763514,1,1,2,2,140,46,40,145,50,46,39,19,12,46,29,11,sample1
Exon_189,0.228697572,0.167770419,0.603532009,1,1,2,2,73,36,99,62,29,90,18,25,37,22,13,34,sample1
Exon_190,0.4224,0.434133333,0.143466667,1,1,2,2,101,65,28,111,47,42,24,8,6,31,21,11,sample1
Exon_191,0.410810811,0.44954955,0.13963964,1,1,2,2,56,47,20,83,37,21,10,15,4,21,11,8,sample1
Exon_192,0.364605544,0.368336887,0.267057569,1,1,2,2,88,54,28,78,45,48,18,17,15,27,16,14,sample1
Exon_193,0.415282392,0.239202658,0.34551495,1,1,2,2,9,37,13,30,57,36,16,12,5,17,17,16,sample1
Exon_194,0.280773143,0.280773143,0.438453713,1,1,2,2,693,689,1339,786,714,1329,127,132,208,133,93,267,sample1
Exon_195,0.5,0.5,0,1,1,2,2,234,210,1,240,208,4,37,42,0,41,46,1,sample1
Exon_196,0.222390318,0.220877458,0.556732224,1,1,2,2,119,78,368,102,93,445,23,33,82,35,16,94,sample1
Exon_197,0.193633952,0.194518126,0.611847922,1,1,2,2,809,886,3470,680,746,2984,793,877,3303,792,985,3306,sample1
Exon_198,0.290973872,0.157957245,0.551068884,1,1,2,2,33,27,83,41,21,60,20,17,48,53,52,93,sample1
Exon_199,0.321875,0.509375,0.16875,1,1,2,2,15,24,15,16,14,12,4,16,8,23,30,15,sample1
Exon_200,0.314866113,0.179132041,0.506001847,1,1,2,2,29,29,57,23,9,43,16,15,27,34,28,72,sample1
Exon_201,0.416252073,0.462686567,0.12106136,1,1,2,2,45,34,25,27,19,22,27,12,16,41,38,30,sample1
Exon_202,0.25,0.359848485,0.390151515,1,1,2,2,31,23,52,29,17,40,16,16,25,40,38,75,sample1
Exon_203,0.21869783,0.30328325,0.47801892,1,1,2,2,49,31,81,33,13,66,16,25,71,59,43,138,sample1
Exon_204,0.239245728,0.253388332,0.50736594,1,1,2,2,54,50,124,47,34,72,23,38,50,67,64,173,sample1
Exon_205,0.321763602,0.348968105,0.329268293,1,1,2,2,52,36,49,35,17,23,25,13,21,49,32,47,sample1
Exon_206,0.269544924,0.225204201,0.505250875,1,1,2,2,24,72,120,24,65,125,23,47,110,22,53,106,sample1
Exon_207,0.292369478,0.309236948,0.398393574,1,1,2,2,24,60,140,25,60,137,26,70,114,15,37,92,sample1
Exon_208,0.248502994,0.261227545,0.490269461,1,1,2,2,10,40,87,25,53,90,18,34,74,16,20,60,sample1
Exon_209,0.152,0.396,0.452,1,1,2,2,23,31,58,43,18,69,35,29,73,35,22,40,sample1
Exon_210,0.240092879,0.240712074,0.519195046,1,1,2,2,31,79,175,35,105,228,7,29,79,20,47,84,sample1
Exon_211,0.358917109,0.361987162,0.27909573,1,1,2,2,20,30,41,29,39,32,13,17,14,18,16,21,sample1
Exon_212,0.399328859,0.399328859,0.201342282,1,1,2,2,171,308,200,234,387,317,34,27,12,22,34,19,sample1
Exon_213,0.5,0.5,0,1,1,2,2,1712,1577,8,2533,2396,5,59,30,1,38,37,0,sample1
Exon_214,0.5,0.5,0,1,1,2,2,1999,1908,35,2975,2832,48,68,53,1,61,73,0,sample1
Exon_215,0.230088496,0.230088496,0.539823009,1,1,2,2,739,837,2743,1090,1331,4192,27,22,64,14,27,85,sample1
Exon_216,0.449152542,0.449152542,0.101694915,1,1,2,2,1504,1471,774,2368,2263,1270,37,42,25,34,62,25,sample1
Exon_217,0.351731602,0.446969697,0.201298701,1,1,2,2,49,107,57,32,81,43,18,51,24,34,46,33,sample1
Exon_218,0.48945616,0.390677026,0.119866815,1,1,2,2,38,53,49,34,86,50,20,45,30,21,49,27,sample1
Exon_219,0.394927536,0.33115942,0.273913043,1,1,2,2,43,129,61,37,109,43,18,46,25,16,55,28,sample1
Exon_220,0.385103011,0.52614897,0.088748019,1,1,2,2,59,59,49,49,61,52,36,42,25,41,45,28,sample1
Exon_221,0.510115607,0.414739884,0.075144509,1,1,2,2,51,73,33,43,62,19,25,28,8,36,36,13,sample1
Exon_222,0.505050505,0.494949495,0,1,1,2,2,32,33,0,32,34,0,27,19,0,32,29,0,sample1
Exon_223,0.127617149,0.153539382,0.71884347,1,1,2,2,54,36,107,42,43,100,32,36,97,46,39,84,sample1
Exon_224,0.26419214,0.30349345,0.43231441,1,1,2,2,45,41,72,42,39,59,21,26,61,28,30,54,sample1
Exon_225,0.555555556,0.444444444,0,1,1,2,2,20,14,0,25,17,0,18,10,0,12,26,0,sample1
Exon_226,0.375886525,0.34751773,0.276595745,1,1,2,2,33,37,10,26,26,15,24,25,6,23,35,6,sample1
Exon_227,0.365740741,0.293981481,0.340277778,1,1,2,2,59,61,82,61,51,68,46,36,51,63,59,59,sample1
